Gene description	Gene name
CCDC169-SOHLH2 readthrough [Source:HGNC Symbol;Acc:HGNC:38866]	CCDC169-SOHLH2
SEZ6L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40521]	SEZ6L-AS1
PIK3IP1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:41072]	PIK3IP1-DT
long intergenic non-protein coding RNA 2438 [Source:HGNC Symbol;Acc:HGNC:53370]	LINC02438
long intergenic non-protein coding RNA 898 [Source:HGNC Symbol;Acc:HGNC:48581]	LINC00898
protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	PPP1R3D
pseudogene similar to part of WEE1 homolog (WEE1)	
cytokine like 1 [Source:HGNC Symbol;Acc:HGNC:24435]	CYTL1
prefoldin subunit 4 [Source:HGNC Symbol;Acc:HGNC:8868]	PFDN4
tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]	TTLL12
STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae) (STT3A) pseudogene	
novel transcript, sense intronic to KIAA0247	
myosin light chain 5 [Source:HGNC Symbol;Acc:HGNC:7586]	MYL5
long intergenic non-protein coding RNA 2306 [Source:HGNC Symbol;Acc:HGNC:53225]	LINC02306
serine palmitoyltransferase small subunit A [Source:HGNC Symbol;Acc:HGNC:20361]	SPTSSA
novel transcript, sense intronic to KIAA1755	
defensin beta 116 [Source:HGNC Symbol;Acc:HGNC:18097]	DEFB116
ataxin 3 (ATXN3) pseudogene	
novel transcript, antisense to SLC8A3	
proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	PSMA7
chromosome 17 open reading frame 98 (C17orf98) pseudogene	
PDZ domain-containing protein 11 (PDZD11) pseudogene	
Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	FOS
FREM2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39964]	FREM2-AS1
TOMM22 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38739]	TOMM22P3
eukaryotic translation elongation factor 1 alpha 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:3194]	EEF1A1P3
novel myxovirus (influenza virus) resistance protein pseudogene	
SUGT1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:20513]	SUGT1P3
tRNA methyltransferase 44 homolog [Source:HGNC Symbol;Acc:HGNC:26653]	TRMT44
defensin beta 119 [Source:HGNC Symbol;Acc:HGNC:18099]	DEFB119
proline rich 5 [Source:HGNC Symbol;Acc:HGNC:31682]	PRR5
long intergenic non-protein coding RNA 640 [Source:HGNC Symbol;Acc:HGNC:44291]	LINC00640
novel transcript, antisense to NUMB and HEATR4	
cadherin 26 [Source:HGNC Symbol;Acc:HGNC:15902]	CDH26
LHFPL tetraspan subfamily member 6 [Source:HGNC Symbol;Acc:HGNC:6586]	LHFPL6
polycomb group ring finger 3 (PCGF3) pseudogene	
PAPLN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55451]	PAPLN-AS1
general transcription factor IIIA pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49745]	GTF3AP2
heterogeneous nuclear ribonucleoprotein U pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19931]	HNRNPUP1
ribosomal protein L9 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:19798]	RPL9P6
pleckstrin homology and coiled-coil domain containing D1 [Source:HGNC Symbol;Acc:HGNC:20148]	PLEKHD1
WD repeat domain 95, pseudogene [Source:HGNC Symbol;Acc:HGNC:42637]	WDR95P
TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]	TBC1D14
RNA polymerase III subunit K pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39577]	POLR3KP1
Y-box binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8015]	YBX1P1
long intergenic non-protein coding RNA 459 [Source:HGNC Symbol;Acc:HGNC:42808]	LINC00459
latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	LTBP2
solute carrier family 25 member 5 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:35471]	SLC25A5P4
long intergenic non-protein coding RNA 378 [Source:HGNC Symbol;Acc:HGNC:42704]	LINC00378
mitochondrial ribosomal protein S33 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:29767]	MRPS33P4
microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]	MAP1LC3A
ribosomal protein L26 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:36278]	RPL26P35
CD226 molecule [Source:HGNC Symbol;Acc:HGNC:16961]	CD226
cell cycle exit and neuronal differentiation 1 (CEND1) pseudogene	
SPATA13 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39905]	SPATA13-AS1
USP12 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39961]	USP12-AS1
uracil phosphoribosyltransferase homolog [Source:HGNC Symbol;Acc:HGNC:28334]	UPRT
cytochrome c oxidase III (MTCO3) pseudogene	
phosphorylase kinase regulatory subunit beta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8928]	PHKBP1
novel keratin-associated protein	
MLLT10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15794]	MLLT10P1
peroxiredoxin 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39266]	PRDX3P3
proline rich 20F, pseudogene [Source:HGNC Symbol;Acc:HGNC:49097]	PRR20FP
ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]	ENTPD6
ribosomal protein SA pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:36641]	RPSAP53
novel transcript, antisense to WASF3	
DnaJ heat shock protein family (Hsp40) member A1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39337]	DNAJA1P1
long intergenic non-protein coding RNA 1065 [Source:HGNC Symbol;Acc:HGNC:49103]	LINC01065
ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150]	RNF125
small nuclear ribonucleoprotein polypeptide C pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:49828]	SNRPCP13
pseudogene similar to part of ribosomal protein S17 (RPS17)	
protein phosphatase 2, regulatory subunit B, delta isoform (PPP2R2D) pseudogene	
TUBB4B pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:55021]	TUBB4BP8
novel transcript, antisense to CXorf30	
DIAPH3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39915]	DIAPH3-AS1
ribosomal protein L39 (RPL39) pseudogene	
microtubule-associated protein 7 (MAP7) pseudogene	
dopamine receptor D5 [Source:HGNC Symbol;Acc:HGNC:3026]	DRD5
ubiquitin-conjugating enzyme E2D 2 (UBC4\\/5 homolog, yeast) (UBE2D2) pseudogene	
SRSF protein kinase 1 (SRPK1) pseudogene	
SET pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42923]	SETP4
ADP ribosylation factor like GTPase 2 binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17742]	ARL2BPP1
novel transcript, antisense to PCGF3	
ring finger protein 19B (RNF19B) pseudogene	
elongation factor for RNA polymerase II 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39345]	ELL2P3
SLC2A9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40636]	SLC2A9-AS1
long intergenic non-protein coding RNA 1284 [Source:HGNC Symbol;Acc:HGNC:50342]	LINC01284
heterogeneous nuclear ribonucleoprotein A3 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39774]	HNRNPA3P5
microRNA 5692b [Source:HGNC Symbol;Acc:HGNC:43535]	MIR5692B
novel transcript, antisense to PKNOX1	
BCR pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:49113]	BCRP9
PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]	PKNOX1
janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]	JAKMIP1
USP27X divergent transcript [Source:HGNC Symbol;Acc:HGNC:27249]	USP27X-DT
A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]	AKAP11
MT-ND2 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:42126]	MTND2P25
DEP domain containing 5, GATOR1 subcomplex subunit [Source:HGNC Symbol;Acc:HGNC:18423]	DEPDC5
highly divergent homeobox [Source:HGNC Symbol;Acc:HGNC:26411]	HDX
phosphatidylinositol glycan anchor biosynthesis class N [Source:HGNC Symbol;Acc:HGNC:8967]	PIGN
small integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:28776]	SMIM2
CTDSPL2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55031]	CTDSPL2P1
calmodulin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1443]	CALM1P1
mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]	MZT1
CORO1C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55002]	CORO1CP1
EIF3M pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55006]	EIF3MP1
UBE2V1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:44890]	UBE2V1P7
CYCS pseudogene 43 [Source:HGNC Symbol;Acc:HGNC:24417]	CYCSP43
long intergenic non-protein coding RNA 1496 [Source:HGNC Symbol;Acc:HGNC:51162]	LINC01496
nucleosome assembly protein 1 like 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31706]	NAP1L6P
iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857]	ISCA2
UBE2V1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:44894]	UBE2V1P9
poly(A) binding protein cytoplasmic 5 [Source:HGNC Symbol;Acc:HGNC:13629]	PABPC5
long intergenic non-protein coding RNA 1053 [Source:HGNC Symbol;Acc:HGNC:49047]	LINC01053
cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	CBS
poly(A) binding protein cytoplasmic 1 like 2A [Source:HGNC Symbol;Acc:HGNC:27989]	PABPC1L2A
sorcin pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38734]	SRIP2
ADP ribosylation factor like GTPase 13A [Source:HGNC Symbol;Acc:HGNC:31709]	ARL13A
long intergenic non-protein coding RNA 448 [Source:HGNC Symbol;Acc:HGNC:42785]	LINC00448
Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]	JDP2
cyclin-dependent kinase 2 associated protein 1 (CDK2AP1) pseudogene	
eukaryotic translation elongation factor 1 alpha 1 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:3198]	EEF1A1P15
SYF2 pre-mRNA-splicing factor (SYF2) pseudogene	
H3 histone pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:42030]	H3P36
bromodomain and WD repeat domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17342]	BRWD3
long intergenic non-protein coding RNA 374 [Source:HGNC Symbol;Acc:HGNC:42698]	LINC00374
protocadherin 20 [Source:HGNC Symbol;Acc:HGNC:14257]	PCDH20
proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]	PROSER1
spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]	SPATA7
TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]	TBC1D25
SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]	SH3BP2
COP9 signalosome subunit 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45269]	COPS8P1
ribosomal protein SA pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:31464]	RPSAP15
eukaryotic translation initiation factor 4A1 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:37930]	EIF4A1P10
SHC adaptor protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10841]	SHC1P1
ectodysplasin A [Source:HGNC Symbol;Acc:HGNC:3157]	EDA
ribosomal protein L37 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:36256]	RPL37P21
MRPL32 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29704]	MRPL32P1
CHM Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1940]	CHM
cytochrome c oxidase subunit 7C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2293]	COX7CP1
glutamate rich 6B [Source:HGNC Symbol;Acc:HGNC:26523]	ERICH6B
STAU2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55011]	STAU2P1
peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]	PIN4
long intergenic non-protein coding RNA 547 [Source:HGNC Symbol;Acc:HGNC:43682]	LINC00547
ribosomal protein L13a pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:36981]	RPL13AP25
klotho [Source:HGNC Symbol;Acc:HGNC:6344]	KL
novel transcript, sense intronic to MX2	
heterogeneous nuclear ribonucleoprotein A1 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:39543]	HNRNPA1P25
mitochondrial ribosomal protein L51 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29724]	MRPL51P2
FOXM1-regulated, gastric cancer associated [Source:HGNC Symbol;Acc:HGNC:51844]	FRGCA
phosphoribosyl pyrophosphate amidotransferase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48738]	PPATP2
tetratricopeptide repeat domain 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23318]	TTC3P1
HNRNPDL pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:48754]	HNRNPDLP3
FCF1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:44621]	FCF1P9
crystallin alpha A [Source:HGNC Symbol;Acc:HGNC:2388]	CRYAA
ribosomal protein S29 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:36830]	RPS29P28
MIR325 host gene [Source:NCBI gene (formerly Entrezgene);Acc:101928469]	MIR325HG
long intergenic non-protein coding RNA 395 [Source:HGNC Symbol;Acc:HGNC:42723]	LINC00395
TEX101 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55030]	TEX101P1
stress induced phosphoprotein 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49554]	STIP1P3
U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453]	U2AF1
KAT7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55026]	KAT7P1
ribosomal protein S6 kinase A6 [Source:HGNC Symbol;Acc:HGNC:10435]	RPS6KA6
microtubule affinity regulating kinase 2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39803]	MARK2P12
iroquois homeobox 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33315]	IRX1P1
transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42356]	TPTE2P5
long intergenic non-protein coding RNA 609 [Source:HGNC Symbol;Acc:HGNC:43960]	LINC00609
CYCS pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20095]	CYCSP1
WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	WDR1
TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]	TOGARAM1
protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]	PCDH8
B3GNT2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51316]	B3GNT2P1
cystatin 9-like pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44337]	CST9LP2
POF1B actin binding protein [Source:HGNC Symbol;Acc:HGNC:13711]	POF1B
RBBP8 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16144]	RBBP8NL
ribosomal protein L35a pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:36284]	RPL35AP31
progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]	PIBF1
long intergenic non-protein coding RNA 687 [Source:HGNC Symbol;Acc:HGNC:16194]	LINC00687
kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]	KLHL4
cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	CST3
SET domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1258]	SETD4
novel transcript, antisense & intronic to TTC7B	
ribosomal protein L12 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:16587]	RPL12P4
ankyrin repeat domain 60 [Source:HGNC Symbol;Acc:HGNC:16217]	ANKRD60
long intergenic non-protein coding RNA 1440 [Source:HGNC Symbol;Acc:HGNC:50762]	LINC01440
CAPZA1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:54564]	CAPZA1P3
voltage dependent anion channel 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12671]	VDAC1P1
ribosomal protein L6 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:36382]	RPL6P29
WBP11 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:54789]	WBP11P3
ATP5MK pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31716]	ATP5MKP1
X antigen family (XAGE) pseudogene	
heterogeneous nuclear ribonucleoprotein A1 pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:39545]	HNRNPA1P27
long intergenic non-protein coding RNA 2600 [Source:HGNC Symbol;Acc:HGNC:53177]	LINC02600
novel transcript, sense intronic FTX	
Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1 [Source:HGNC Symbol;Acc:HGNC:1986]	CITED1
LIM domain binding 2 [Source:HGNC Symbol;Acc:HGNC:6533]	LDB2
FSHD region gene 1 family member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:15792]	FRG1BP
pseudogene similar to part of laminin receptor 1 (ribosomal protein SA, 67kDa) LAMR1	
novel transcript, sense intronic to CABLES2	
novel transcript, antisense to CDH4	
GID complex subunit 8 homolog [Source:HGNC Symbol;Acc:HGNC:15857]	GID8
cystatin pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:2487]	CSTP2
novel transcript, antisense to PYGB	
IGBP1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40294]	IGBP1-AS2
heat shock 60kDa protein 1 (chaperonin) (HSPD1) pseudogene	
adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	AP5M1
NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]	NOX1
family with sequence similarity 242 member A [Source:HGNC Symbol;Acc:HGNC:51597]	FAM242A
novel transcript, sense intronic to BFSP1	
BPI fold containing family A member 3 [Source:HGNC Symbol;Acc:HGNC:16204]	BPIFA3
fatty acid binding protein 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31059]	FABP5P1
ribosomal protein L21 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:19779]	RPL21P8
transmembrane protein 63C [Source:HGNC Symbol;Acc:HGNC:23787]	TMEM63C
BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]	BORA
prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	PMEPA1
nudix hydrolase 10 [Source:HGNC Symbol;Acc:HGNC:17621]	NUDT10
USP37 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55020]	USP37P1
scavenger receptor class B, member 1 (SCARB1) pseudogene	
ring finger protein 34 (RNF34) pseudogene	
ribosomal protein S7 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:36602]	RPS7P14
FOXN3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54995]	FOXN3P2
zinc finger protein 486 (ZNF486) pseudogene	
ribosomal protein S6 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:36713]	RPS6P26
MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]	MAGEE1
mortality factor 4 like 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39258]	MORF4L1P6
autophagy related 4A cysteine peptidase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44081]	ATG4AP1
VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa (VAPA) pseudogene	
transcription elongation factor A like 9 [Source:HGNC Symbol;Acc:HGNC:30084]	TCEAL9
high-mobility group nucleosome binding domain 1 (HMGN1) pseudogene	
complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]	CPLX1
BUD31 homolog pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:51562]	BUD31P2
phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:38100]	PAICSP7
ribosomal protein SA pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:31462]	RPSAP8
riboflavin kinase (RFK) pseudogene	
polysaccharide biosynthesis domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28790]	PBDC1
solute carrier family 35 member F4 [Source:HGNC Symbol;Acc:HGNC:19845]	SLC35F4
novel transcript, antisense to JAG1	
extracellular matrix protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49737]	ECM1P2
developmental pluripotency associated 4 (DPPA4) pseudogene	
isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	IDH3B
MT-CO1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39604]	MTCO1P3
adenosine deaminase, RNA-specific, B1 (ADARB1) pseudogene	
COL18A1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40155]	COL18A1-AS2
ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	RNF4
COL18A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23132]	COL18A1-AS1
mitochondrial ribosomal protein S22 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29757]	MRPS22P1
DIAPH2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16972]	DIAPH2-AS1
microRNA 6815 [Source:HGNC Symbol;Acc:HGNC:50225]	MIR6815
novel transcript, antisense to AKAP6	
glyceraldehyde-3-phosphate dehydrogenase (GAPDH) pseudogene	
ring finger protein 19B pseudogene X-linked [Source:HGNC Symbol;Acc:HGNC:38484]	RNF19BPX
retrotransposon Gag like 3 [Source:HGNC Symbol;Acc:HGNC:22997]	RTL3
long intergenic non-protein coding RNA 2284 [Source:HGNC Symbol;Acc:HGNC:53201]	LINC02284
solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	SLC19A1
POMP pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55007]	POMPP1
BRAF pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18615]	BRAFP1
NUDT19 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43586]	NUDT19P2
long intergenic non-protein coding RNA 1148 [Source:HGNC Symbol;Acc:HGNC:27507]	LINC01148
terminal nucleotidyltransferase 5D [Source:HGNC Symbol;Acc:HGNC:28399]	TENT5D
bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	BMP4
SERPINE1 mRNA binding protein 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44631]	SERBP1P4
USP12 pseudogene X-linked [Source:HGNC Symbol;Acc:HGNC:21410]	USP12PX
PDK1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:55004]	PDK1P2
cytochrome b (CYTB) pseudogene	
tetratricopeptide repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:19739]	TTC6
TGFB induced factor homeobox 2 like X-linked [Source:HGNC Symbol;Acc:HGNC:18570]	TGIF2LX
collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	COL18A1
ST13, Hsp70 interacting protein pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:38861]	ST13P18
ACTR3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38676]	ACTR3P2
keratin 18 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:6431]	KRT18P11
negative regulator of P-body association [Source:HGNC Symbol;Acc:HGNC:50713]	NBDY
KPNB1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55029]	KPNB1P1
DLGAP5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:55016]	DLGAP5P2
kinesin family member 4C, pseudogene [Source:HGNC Symbol;Acc:HGNC:13340]	KIF4CP
OOEP pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54933]	OOEPP1
high mobility group box 1 pseudogene 32 [Source:HGNC Symbol;Acc:HGNC:39123]	HMGB1P32
PHACTR3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40727]	PHACTR3-AS1
SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]	SH3BGRL
legumain pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23079]	LGMNP1
ribosomal protein L39 pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:36514]	RPL39P39
olfactory receptor family 7 subfamily E member 156 pseudogene [Source:HGNC Symbol;Acc:HGNC:31311]	OR7E156P
long intergenic non-protein coding RNA 393 [Source:HGNC Symbol;Acc:HGNC:42721]	LINC00393
ribosomal protein L31 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:16549]	RPL31P3
eukaryotic translation elongation factor 1 alpha 1 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:37918]	EEF1A1P40
GTF3C6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55023]	GTF3C6P1
VAMP associated protein B and C [Source:HGNC Symbol;Acc:HGNC:12649]	VAPB
trafficking protein particle complex 13 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50347]	TRAPPC13P1
pseudogene similar to part of SLC9A2 (solute carrier family 9 (sodium\/hydrogen exchanger), isoform 2)	
CSGALNACT2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55033]	CSGALNACT2P1
hexokinase 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4924]	HK2P1
transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752]	TFE3
kelch like family member 1 [Source:HGNC Symbol;Acc:HGNC:6352]	KLHL1
ALG1 like 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:44376]	ALG1L7P
chromosome 4 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:33766]	C4orf50
long intergenic non-protein coding RNA 2296 [Source:HGNC Symbol;Acc:HGNC:53212]	LINC02296
guanosine monophosphate reductase (GMPR) pseudogene	
ATP synthase membrane subunit c locus 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42188]	ATP5MC2P4
ferritin heavy chain 1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:3983]	FTH1P13
novel Pumilio domain-containing protein KIAA0020 pseudogene	
ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	RAE1
