SYMBOL	DESCRIPTION
H2ACP1	H2AC histone family pseudogene 1
RNF167	Ring finger protein 167
AZU1P1	Azurocidin 1 pseudogene 1
PLEKHA7	Pleckstrin homology domain containing A7
BNIP3P7	BCL2 interacting protein 3 pseudogene 7
UBL3	Ubiquitin like 3
NSA2P7	NSA2 pseudogene 7
C9orf50	Chromosome 9 open reading frame 50
RENBP	Renin binding protein
HMGN2P32	High mobility group nucleosomal binding domain 2 pseudogene 32
TSTD2	Thiosulfate sulfurtransferase like domain containing 2
LINC01520	Long intergenic non-protein coding RNA 1520
DOCK9-AS1	DOCK9 antisense RNA 1
A1CF	APOBEC1 complementation factor
MCF2L	MCF.2 cell line derived transforming sequence like
SLC4A11	Solute carrier family 4 member 11
SLC26A8	Solute carrier family 26 member 8
BRINP1	BMP/retinoic acid inducible neural specific 1
PSMB5	Proteasome 20S subunit beta 5
HCFC1	Host cell factor C1
CCNB2P1	Cyclin B2 pseudogene 1
ANO3-AS1	ANO3 antisense RNA 1
TAX1BP3	Tax1 binding protein 3
CAPRIN1	Cell cycle associated protein 1
ICA1	Islet cell autoantigen 1
OR7E108P	Olfactory receptor family 7 subfamily E member 108 pseudogene
BID	BH3 interacting domain death agonist
PSMB11	Proteasome subunit beta 11
ANKRD19P	Ankyrin repeat domain 19, pseudogene
EEF1A1P9	Eukaryotic translation elongation factor 1 alpha 1 pseudogene 9
PIMREG	PICALM interacting mitotic regulator
C14orf119	Chromosome 14 open reading frame 119
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
LMLN2	Leishmanolysin like peptidase 2
HOMEZ	Homeobox and leucine zipper encoding
HCFC1-AS1	HCFC1 antisense RNA 1
TMEM187	Transmembrane protein 187
H3P37	H3 histone pseudogene 37
MIR3202-1	MicroRNA 3202-1
PPP1R3E	Protein phosphatase 1 regulatory subunit 3E
MIR3202-2	MicroRNA 3202-2
IRAK1	Interleukin 1 receptor associated kinase 1
RPS15AP27	Ribosomal protein S15a pseudogene 27
NCBP1	Nuclear cap binding protein subunit 1
INCA1	Inhibitor of CDK, cyclin A1 interacting protein 1
EFS	Embryonal Fyn-associated substrate
WBP1LP12	WBP1L pseudogene 12
LINC01218	Long intergenic non-protein coding RNA 1218
KRT19P6	Keratin 19 pseudogene 6
RPS10-NUDT3	RPS10-NUDT3 readthrough
RACK1P3	RACK1 pseudogene 3
LINC02264	Long intergenic non-protein coding RNA 2264
IL25	Interleukin 25
HDHD5	Haloacid dehalogenase like hydrolase domain containing 5
NECAB3	N-terminal EF-hand calcium binding protein 3
CMTM5	CKLF like MARVEL transmembrane domain containing 5
NUP88	Nucleoporin 88
UGT2B4	UDP glucuronosyltransferase family 2 member B4
ANKRD18EP	Ankyrin repeat domain 18E, pseudogene
NUTM2HP	NUT family member 2H, pseudogene
RPL15P3	Ribosomal protein L15 pseudogene 3
MINPP1	Multiple inositol-polyphosphate phosphatase 1
RAB44	RAB44, member RAS oncogene family
NAV2-AS6	NAV2 antisense RNA 6
LINC00587	Long intergenic non-protein coding RNA 587
KCTD20	Potassium channel tetramerization domain containing 20
SUGT1P4-STRA6LP-CCDC180	SUGT1P4-STRA6LP-CCDC180 readthrough
API5	Apoptosis inhibitor 5
TSPAN13	Tetraspanin 13
FARSBP1	FARSB pseudogene 1
COPS4	COP9 signalosome subunit 4
TFAM	Transcription factor A, mitochondrial
MIR718	MicroRNA 718
RNU6-934P	RNA, U6 small nuclear 934, pseudogene
NANOGNBP3	NANOGNB pseudogene 3
OR7E39P	Olfactory receptor family 7 subfamily E member 39 pseudogene
RPL21P132	Ribosomal protein L21 pseudogene 132
TIMP3	TIMP metallopeptidase inhibitor 3
RPA3	Replication protein A3
TIMM8A	Translocase of inner mitochondrial membrane 8A
GNAL	G protein subunit alpha L
RPL36A	Ribosomal protein L36a
CRELD2	Cysteine rich with EGF like domains 2
MYH7	Myosin heavy chain 7
DNAH8-AS1	DNAH8 antisense RNA 1
NXPH1	Neurexophilin 1
MLN	Motilin
MACC1-AS1	MACC1 antisense RNA 1
THRAP3P3	THRAP3 pseudogene 3
IGHD4OR15-4B	Immunoglobulin heavy diversity 4/OR15-4B (non-functional)
CTSLP1	Cathepsin L pseudogene 1
GLCCI1-DT	GLCCI1 divergent transcript
RPL36A-HNRNPH2	RPL36A-HNRNPH2 readthrough
BMS1P16	BMS1 pseudogene 16
SRP9P1	Signal recognition particle 9 pseudogene 1
MIOS-DT	MIOS divergent transcript
UNC5B	Unc-5 netrin receptor B
THBS1-AS1	THBS1 antisense RNA 1
ANKRD61	Ankyrin repeat domain 61
HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2
NF1P2	Neurofibromin 1 pseudogene 2
PAPOLB	Poly(A) polymerase beta
PPIAP90	Peptidylprolyl isomerase A pseudogene 90
MTND4LP31	MT-ND4L pseudogene 31
COL25A1-DT	COL25A1 divergent transcript
CAMKK1	Calcium/calmodulin dependent protein kinase kinase 1
LINC02503	Long intergenic non-protein coding RNA 2503
CCNQ	Cyclin Q
RSPH10B	Radial spoke head 10 homolog B
ZNF318	Zinc finger protein 318
DYNLL1P6	Dynein light chain LC8-type 1 pseudogene 6
PGAM4P2	Phosphoglycerate mutase family member 4 pseudogene 2
PDCD6IPP1	PDCD6IP pseudogene 1
SHROOM3-AS1	SHROOM3 antisense RNA 1
RPS3AP5	RPS3A pseudogene 5
MIX23P2	MIX23 pseudogene 2
RPUSD2	RNA pseudouridine synthase domain containing 2
DKK2	Dickkopf WNT signaling pathway inhibitor 2
EIF5AP4	Eukaryotic translation initiation factor 5A pseudogene 4
PPP1R3C	Protein phosphatase 1 regulatory subunit 3C
PPIAP30	Peptidylprolyl isomerase A pseudogene 30
FAM133CP	Family with sequence similarity 133 member C, pseudogene
PLA2G12B	Phospholipase A2 group XIIB
IGHV1OR15-9	Immunoglobulin heavy variable 1/OR15-9 (non-functional)
NUP153-AS1	NUP153 antisense RNA 1
UQCC2	Ubiquinol-cytochrome c reductase complex assembly factor 2
GRID1	Glutamate ionotropic receptor delta type subunit 1
PIGCP1	Phosphatidylinositol glycan anchor biosynthesis class C pseudogene 1
HMGB1P28	High mobility group box 1 pseudogene 28
FJX1	Four-jointed box kinase 1
ARL14EP-DT	ARL14EP divergent transcript
LINC01378	Long intergenic non-protein coding RNA 1378
KRT18P48	Keratin 18 pseudogene 48
CBX3P1	Chromobox 3 pseudogene 1
SLC6A8	Solute carrier family 6 member 8
CALCP	Calcitonin pseudogene
OR4A43P	Olfactory receptor family 4 subfamily A member 43 pseudogene
DAAM2	Dishevelled associated activator of morphogenesis 2
LINC02653	Long intergenic non-protein coding RNA 2653
UBTFL9	UBTF like 9 (pseudogene)
TRIM77BP	Tripartite motif containing 77B, pseudogene
LINC02671	Long intergenic non-protein coding RNA 2671
UBTFL7	UBTF like 7 (pseudogene)
CXCL8	C-X-C motif chemokine ligand 8
RPL23AP52	Ribosomal protein L23a pseudogene 52
LINC00857	Long intergenic non-protein coding RNA 857
OR4C13	Olfactory receptor family 4 subfamily C member 13
RPL36AP26	Ribosomal protein L36a pseudogene 26
GTF2IP11	General transcription factor IIi pseudogene 11
OR7E136P	Olfactory receptor family 7 subfamily E member 136 pseudogene
RPS24	Ribosomal protein S24
C1GALT1	Core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
BBOX1-AS1	BBOX1 antisense RNA 1
TMPRSS11BNL	TMPRSS11B N-terminal like, pseudogene
NGDN	Neuroguidin
OR4A46P	Olfactory receptor family 4 subfamily A member 46 pseudogene
PPIAP41	Peptidylprolyl isomerase A pseudogene 41
RNF138	Ring finger protein 138
NUTF2P7	Nuclear transport factor 2 pseudogene 7
RNU1-56P	RNA, U1 small nuclear 56, pseudogene
ARHGEF38	Rho guanine nucleotide exchange factor 38
P2RX1	Purinergic receptor P2X 1
SOCS5P4	Suppressor of cytokine signaling 5 pseudogene 4
WT1	WT1 transcription factor
SNX12	Sorting nexin 12
PRKAR1B	Protein kinase cAMP-dependent type I regulatory subunit beta
C20orf144	Chromosome 20 open reading frame 144
E2F1	E2F transcription factor 1
EREG	Epiregulin
FOXO4	Forkhead box O4
PARVB	Parvin beta
RNA5SP453	RNA, 5S ribosomal pseudogene 453
MEP1B	Meprin A subunit beta
PXMP4	Peroxisomal membrane protein 4
BTC	Betacellulin
MTND2P11	MT-ND2 pseudogene 11
CXorf65	Chromosome X open reading frame 65
PITPNM3	PITPNM family member 3
CCDC180	Coiled-coil domain containing 180
RBM22P4	RNA binding motif protein 22 pseudogene 4
SUPT3H	SPT3 homolog, SAGA and STAGA complex component
BDH2	3-hydroxybutyrate dehydrogenase 2
ZFHX2-AS1	ZFHX2 antisense RNA 1
LINC00863	Long intergenic non-protein coding RNA 863
IL2RG	Interleukin 2 receptor subunit gamma
ZNF341	Zinc finger protein 341
CCDC6	Coiled-coil domain containing 6
CLUHP6	Clustered mitochondria homolog pseudogene 6
THTPA	Thiamine triphosphatase
RPS27P1	Ribosomal protein S27 pseudogene 1
RPS7P9	Ribosomal protein S7 pseudogene 9
LOXHD1	Lipoxygenase homology PLAT domains 1
LINC02893	Long intergenic non-protein coding RNA 2893
PCMTD1P3	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 3
ANXA1	Annexin A1
MMUT	Methylmalonyl-CoA mutase
RSPH10B2	Radial spoke head 10 homolog B2
AP1G2	Adaptor related protein complex 1 subunit gamma 2
GJB1	Gap junction protein beta 1
LINC02248	Long intergenic non-protein coding RNA 2248
TRAM2	Translocation associated membrane protein 2
TUBAP11	Tubulin alpha pseudogene 11
LINC02249	Long intergenic non-protein coding RNA 2249
OR4C45	Olfactory receptor family 4 subfamily C member 45 (gene/pseudogene)
IGHD3OR15-3A	Immunoglobulin heavy diversity 3/OR15-3A (non-functional)
TACR3-AS1	TACR3 antisense RNA 1
FAR1	Fatty acyl-CoA reductase 1
FTH1P5	Ferritin heavy chain 1 pseudogene 5
MIR98	MicroRNA 98
MIRLET7F2	MicroRNA let-7f-2
RLIM	Ring finger protein, LIM domain interacting
UGT8	UDP glycosyltransferase 8
ITGAE	Integrin subunit alpha E
ZFYVE19	Zinc finger FYVE-type containing 19
STK38	Serine/threonine kinase 38
PABPC1P3	Poly(A) binding protein cytoplasmic 1 pseudogene 3
RNU6-330P	RNA, U6 small nuclear 330, pseudogene
NEXMIF	Neurite extension and migration factor
ADH1C	Alcohol dehydrogenase 1C (class I), gamma polypeptide
YME1L1P1	YME1L1 pseudogene 1
RPSAP61	Ribosomal protein SA pseudogene 61
ARHGAP42P3	ARHGAP42 pseudogene 3
RN7SL291P	RNA, 7SL, cytoplasmic 291, pseudogene
DUSP21	Dual specificity phosphatase 21
DIPK2B	Divergent protein kinase domain 2B
TMEM217	Transmembrane protein 217
RPL31P2	Ribosomal protein L31 pseudogene 2
ZNF341-AS1	ZNF341 antisense RNA 1
CHMP4B	Charged multivesicular body protein 4B
PI4KAP2	Phosphatidylinositol 4-kinase alpha pseudogene 2
NPAP1P6	Nuclear pore associated protein 1 pseudogene 6
SPATA31A6	SPATA31 subfamily A member 6
LINC02742	Long intergenic non-protein coding RNA 2742
LINC00891	Long intergenic non-protein coding RNA 891
LINC01492	Long intergenic non-protein coding RNA 1492
RN7SL666P	RNA, 7SL, cytoplasmic 666, pseudogene
PPIAP21	Peptidylprolyl isomerase A pseudogene 21
ACTN4P1	Actinin alpha 4 pseudogene 1
WIPI2	WD repeat domain, phosphoinositide interacting 2
LINC01365	Long intergenic non-protein coding RNA 1365
OR4C14P	Olfactory receptor family 4 subfamily C member 14 pseudogene
YBX1P6	Y-box binding protein 1 pseudogene 6
CT45A11P	Cancer/testis antigen family 45 member A11, pseudogene
RPL35AP22	Ribosomal protein L35a pseudogene 22
GAPDHP67	Glyceraldehyde 3 phosphate dehydrogenase pseudogene 67
NAV2-AS5	NAV2 antisense RNA 5
E2F6P4	E2F transcription factor 6 pseudogene 4
GCNT1	Glucosaminyl (N-acetyl) transferase 1
L3MBTL1	L3MBTL histone methyl-lysine binding protein 1
KRT18P49	Keratin 18 pseudogene 49
FRMPD3-AS1	FRMPD3 antisense RNA 1
GSTCD	Glutathione S-transferase C-terminal domain containing
BTBD9	BTB domain containing 9
RRAS2	RAS related 2
PRPS1	Phosphoribosyl pyrophosphate synthetase 1
SCIMP	SLP adaptor and CSK interacting membrane protein
MEP1AP4	Meprin A subunit alpha pseudogene 4
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1
EEF1DP2	Eukaryotic translation elongation factor 1 delta pseudogene 2
DAPK1-IT1	DAPK1 intronic transcript 1
FAM245A	Family with sequence similarity 245 member A
C9orf78	Chromosome 9 open reading frame 78
RSU1P3	Ras suppressor protein 1 pseudogene 3
LINC01518	Long intergenic non-protein coding RNA 1518
USP6	Ubiquitin specific peptidase 6
AR	Androgen receptor
GGNBP1	Gametogenetin binding protein 1 (pseudogene)
WARS2P1	Tryptophanyl tRNA synthetase 2 pseudogene 1
MARK2P16	Microtubule affinity regulating kinase 2 pseudogene 16
SNRPD2P1	Small nuclear ribonucleoprotein D2 pseudogene 1
NUDT9P1	Nudix hydrolase 9 pseudogene 1
EIF2S2P3	Eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 3
NPAP1P3	Nuclear pore associated protein 1 pseudogene 3
TRIM51GP	Tripartite motif-containing 51G, pseudogene
MYOF	Myoferlin
RPS27AP15	RPS27A pseudogene 15
PWRN2	Prader-Willi region non-protein coding RNA 2
RN7SKP221	RN7SK pseudogene 221
HSPE1P11	Heat shock protein family E (Hsp10) member 1 pseudogene 11
ZC3H7B	Zinc finger CCCH-type containing 7B
LINC02726	Long intergenic non-protein coding RNA 2726
MRPS33P3	Mitochondrial ribosomal protein S33 pseudogene 3
OR4A45P	Olfactory receptor family 4 subfamily A member 45 pseudogene
CXCL6	C-X-C motif chemokine ligand 6
PGK2	Phosphoglycerate kinase 2
PCSK5	Proprotein convertase subtilisin/kexin type 5
ATP10A-DT	ATP10A divergent transcript
OR4A42P	Olfactory receptor family 4 subfamily A member 42 pseudogene
RTTN	Rotatin
GOLGA8CP	Golgin A8 family member C, pseudogene
RBBP4P3	RBBP4 pseudogene 3
EEF1B2P5	Eukaryotic translation elongation factor 1 beta 2 pseudogene 5
THAP12P4	THAP domain containing 12 pseudogene 4
OR4A49P	Olfactory receptor family 4 subfamily A member 49 pseudogene
OR4C4P	Olfactory receptor family 4 subfamily C member 4 pseudogene
CD83	CD83 molecule
OR2BH1P	Olfactory receptor family 2 subfamily BH member 1 pseudogene
TRMT112P1	TRNA methyltransferase subunit 11-2 pseudogene 1
AP5Z1	Adaptor related protein complex 5 subunit zeta 1
GPC6-AS1	GPC6 antisense RNA 1
RPL34P22	Ribosomal protein L34 pseudogene 22
EGF	Epidermal growth factor
IGHD1OR15-1B	Immunoglobulin heavy diversity 1/OR15-1B (non-functional)
SPON1	Spondin 1
LINC02694	Long intergenic non-protein coding RNA 2694
CLPS	Colipase
TEF	TEF transcription factor, PAR bZIP family member
ANP32AP1	Acidic nuclear phosphoprotein 32 family member A pseudogene 1
NANOGP3	Nanog homeobox pseudogene 3
EIF4A2P5	Eukaryotic translation initiation factor 4A2 pseudogene 5
RPL37P15	Ribosomal protein L37 pseudogene 15
BMF	Bcl2 modifying factor
OR4R1P	Olfactory receptor family 4 subfamily R member 1 pseudogene
TBC1D22B	TBC1 domain family member 22B
PCDH19	Protocadherin 19
RNU6-495P	RNA, U6 small nuclear 495, pseudogene
ELOVL5	ELOVL fatty acid elongase 5
TOB2	Transducer of ERBB2, 2
MADD	MAP kinase activating death domain
PHF5A	PHD finger protein 5A
ZNF770	Zinc finger protein 770
MOB1AP1	MOB kinase activator 1A pseudogene 1
LINC02895	Long intergenic non-protein coding RNA 2895
BMP15	Bone morphogenetic protein 15
LINC00396	Long intergenic non-protein coding RNA 396
POLR3H	RNA polymerase III subunit H
GAGE2E	G antigen 2E
LINC01040	Long intergenic non-protein coding RNA 1040
KCNK5	Potassium two pore domain channel subfamily K member 5
ARL11	ADP ribosylation factor like GTPase 11
TVP23BP1	TVP23B pseudogene 1
C9orf57	Chromosome 9 open reading frame 57
BNIP3P5	BCL2 interacting protein 3 pseudogene 5
LINC02853	Long intergenic non-protein coding RNA 2853
SLC20A1P3	Solute carrier family 20 member 1 pseudogene 3
TCTE1	T-complex-associated-testis-expressed 1
GAGE12B	G antigen 12B
GPC6	Glypican 6
VDAC1P2	Voltage dependent anion channel 1 pseudogene 2
SALL1P1	Spalt like transcription factor 1 pseudogene 1
HERC2P3	Hect domain and RLD 2 pseudogene 3
PAGE1	PAGE family member 1
RBMX2P4	RBMX2 pseudogene 4
HMGA1	High mobility group AT-hook 1
NDUFA4	NDUFA4 mitochondrial complex associated
RPS29P17	Ribosomal protein S29 pseudogene 17
PAGE4	PAGE family member 4
EIF6	Eukaryotic translation initiation factor 6
BMS1	BMS1 ribosome biogenesis factor
MIR2114	MicroRNA 2114
XRCC6P2	X-ray repair cross complementing 6 pseudogene 2
C17orf100	Chromosome 17 open reading frame 100
SCIN	Scinderin
RNU6-972P	RNA, U6 small nuclear 972, pseudogene
RPL7P56	Ribosomal protein L7 pseudogene 56
RANP4	RAN pseudogene 4
FGF14-AS1	FGF14 antisense RNA 1
RAB28P5	RAB28, member RAS oncogene family pseudogene 5
RBMX	RNA binding motif protein X-linked
TLE1	TLE family member 1, transcriptional corepressor
PIMREGP2	PIMREG pseudogene 2
DPRXP2	Divergent-paired related homeobox pseudogene 2
TRAM1L1	Translocation associated membrane protein 1 like 1
CUL4A	Cullin 4A
B3GNTL1P2	B3GNTL1 pseudogene 2
ENO3	Enolase 3
NDUFS5P5	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 5
AFP	Alpha fetoprotein
RNF8	Ring finger protein 8
CSDC2	Cold shock domain containing C2
AP1G2-AS1	AP1G2 antisense RNA 1
HHEX	Hematopoietically expressed homeobox
PMM1	Phosphomannomutase 1
RPL21P90	Ribosomal protein L21 pseudogene 90
DUSP8P1	Dual specificity phosphatase 8 pseudogene 1
MICALL2	MICAL like 2
CCSER2	Coiled-coil serine rich protein 2
PCNA	Proliferating cell nuclear antigen
SNORD61	Small nucleolar RNA, C/D box 61
RPL22P23	Ribosomal protein L22 pseudogene 23
SRRM1P3	Serine/arginine repetitive matrix 1 pseudogene 3
GPR101	G protein-coupled receptor 101
SREK1IP1P2	SREK1IP1 pseudogene 2
TCEAL3-AS1	TCEAL3 antisense RNA 1
TCEAL1	Transcription elongation factor A like 1
NUDT19P4	NUDT19 pseudogene 4
CENPQ	Centromere protein Q
THBS1	Thrombospondin 1
CNEP1R1P1	CNEP1R1 pseudogene 1
MORF4L2	Mortality factor 4 like 2
RUNX2	RUNX family transcription factor 2
METTL14	Methyltransferase 14, N6-adenosine-methyltransferase subunit
DESI1	Desumoylating isopeptidase 1
MYO5BP3	Myosin VB pseudogene 3
CDS2	CDP-diacylglycerol synthase 2
ASB6	Ankyrin repeat and SOCS box containing 6
AQR	Aquarius intron-binding spliceosomal factor
NPM1P11	Nucleophosmin 1 pseudogene 11
DPP3P2	DPP3 pseudogene 2
CDRT15P5	CDRT15 pseudogene 5
GAS1	Growth arrest specific 1
XRCC6	X-ray repair cross complementing 6
COX19	Cytochrome c oxidase assembly factor COX19
ACTR3BP4	ACTR3B pseudogene 4
MORF4L2-AS1	MORF4L2 antisense RNA 1
REEP3	Receptor accessory protein 3
TMEM31	Transmembrane protein 31
CORO2A	Coronin 2A
SLC25A53	Solute carrier family 25 member 53
PLP2	Proteolipid protein 2
SETP20	SET pseudogene 20
UBE2D3P1	Ubiquitin conjugating enzyme E2 D3 pseudogene 1
METTL14-DT	METTL14 divergent transcript
PROKR2	Prokineticin receptor 2
RNA5-8SP7	RNA, 5.8S ribosomal pseudogene 7
RNLS	Renalase, FAD dependent amine oxidase
PRICKLE3	Prickle planar cell polarity protein 3
KRT18P36	Keratin 18 pseudogene 36
LINC00658	Long intergenic non-protein coding RNA 658
FGD3	FYVE, RhoGEF and PH domain containing 3
ARHGAP19-SLIT1	ARHGAP19-SLIT1 readthrough (NMD candidate)
BRWD1P3	Bromodomain and WD repeat domain containing 1 pseudogene 3
NPY	Neuropeptide Y
MTND1P18	MT-ND1 pseudogene 18
PPA2	Inorganic pyrophosphatase 2
NRG3-AS1	NRG3 antisense RNA 1
GAPDHP68	Glyceraldehyde 3 phosphate dehydrogenase pseudogene 68
IP6K3	Inositol hexakisphosphate kinase 3
P2RX5	Purinergic receptor P2X 5
ZNF438	Zinc finger protein 438
ARL4A	ADP ribosylation factor like GTPase 4A
SYP-AS1	SYP antisense RNA 1
CACNA1F	Calcium voltage-gated channel subunit alpha1 F
TRAJ38	T cell receptor alpha joining 38
TCL1A	TCL1 family AKT coactivator A
GTF3AP5	General transcription factor IIIA pseudogene 5
EEF1A1P26	Eukaryotic translation elongation factor 1 alpha 1 pseudogene 26
CLPSL2	Colipase like 2
GPR146	G protein-coupled receptor 146
IRAK1BP1	Interleukin 1 receptor associated kinase 1 binding protein 1
ETV1	ETS variant transcription factor 1
SERPINB13	Serpin family B member 13
NUFIP1P1	NUFIP1 pseudogene 1
PAK6	P21 (RAC1) activated kinase 6
RBBP4P4	RBBP4 pseudogene 4
DYNLRB1	Dynein light chain roadblock-type 1
SDHCP2	Succinate dehydrogenase complex subunit C pseudogene 2
TLL2	Tolloid like 2
TCP11	T-complex 11
SERPINB4	Serpin family B member 4
SUGT1P4-STRA6LP	SUGT1P4-STRA6LP readthrough
SNX5	Sorting nexin 5
RFK	Riboflavin kinase
MARK2P15	Microtubule affinity regulating kinase 2 pseudogene 15
BMS1P13	BMS1 pseudogene 13
DMAC1	Distal membrane arm assembly component 1
NRBF2	Nuclear receptor binding factor 2
INVS	Inversin
NPM1P26	Nucleophosmin 1 pseudogene 26
DYDC1	DPY30 domain containing 1
KDM5A	Lysine demethylase 5A
SERPINB11	Serpin family B member 11
PALD1	Phosphatase domain containing paladin 1
EMC6	ER membrane protein complex subunit 6
ZFP3	ZFP3 zinc finger protein
FAM177A1P1	Family with sequence similarity 177 member A1 pseudogene 1
CYP2C19	Cytochrome P450 family 2 subfamily C member 19
ALOX15P1	Arachidonate 15-lipoxygenase pseudogene 1
CXXC4	CXXC finger protein 4
FKBP4P1	FKBP prolyl isomerase 4 pseudogene 1
SERPINB3	Serpin family B member 3
ANKRD20A7P	Ankyrin repeat domain 20 family member A7, pseudogene
TUBB4BP5	TUBB4B pseudogene 5
TIMM8BP1	Translocase of inner mitochondrial membrane 8B pseudogene 1
WDFY3-AS2	WDFY3 antisense RNA 2
FOXA2	Forkhead box A2
FGF14-AS2	FGF14 antisense RNA 2
SLC25A11	Solute carrier family 25 member 11
TSPAN14	Tetraspanin 14
ZNF519P3	Zinc finger protein 519 pseudogene 3
HSPB1P2	Heat shock protein family B (small) member 1 pseudogene 2
COMMD7	COMM domain containing 7
CCDC22	Coiled-coil domain containing 22
GJD2	Gap junction protein delta 2
SNU13	Small nuclear ribonucleoprotein 13
ZYG11AP1	Zyg-11 family member A, cell cycle regulator pseudogene 1
EBPL	EBP like
SMC2	Structural maintenance of chromosomes 2
MEIS2	Meis homeobox 2
PAK5	P21 (RAC1) activated kinase 5
RNU6-476P	RNA, U6 small nuclear 476, pseudogene
PPP1R3F	Protein phosphatase 1 regulatory subunit 3F
